Segment,Recommendation_Rank,Business_Objective,Antecedent_StockCodes,Antecedent_Products,Consequent_StockCodes,Consequent_Products,Recommendation,Support_Count,support,confidence,lift,leverage,Rule_Score,Recommended_Channel,Offer_Strategy,Priority
Champions,7,Retain and reward,23301,GARDENERS KNEELING PAD KEEP CALM,23300,GARDENERS KNEELING PAD CUP OF TEA,"When an invoice contains GARDENERS KNEELING PAD KEEP CALM, recommend GARDENERS KNEELING PAD CUP OF TEA.",192,0.026729778644020603,0.6689895470383275,18.770905923344948,0.025305778185375855,0.8957389428263215,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Champions,8,Retain and reward,22630,DOLLY GIRL LUNCH BOX,22629,SPACEBOY LUNCH BOX,"When an invoice contains DOLLY GIRL LUNCH BOX, recommend SPACEBOY LUNCH BOX.",212,0.029514130586106083,0.6773162939297125,13.184723412729335,0.027275620936551254,0.8809061488673139,VIP communication and premium campaigns,"Offer premium bundles, exclusive access, and personalised recommendations",Very High
Hibernating Low Value,1,Low-cost reactivation,22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend ROSES REGENCY TEACUP AND SAUCER.",36,0.026373626373626374,0.7346938775510204,18.921832884097036,0.024979806518268057,0.836842105263158,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,2,Low-cost reactivation,22698,PINK REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,"When an invoice contains PINK REGENCY TEACUP AND SAUCER, recommend GREEN REGENCY TEACUP AND SAUCER.",30,0.02197802197802198,0.8108108108108109,22.58687258687259,0.021004977928054853,0.7894736842105262,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,3,Low-cost reactivation,21136,PAINTED METAL PEARS ASSORTED,84879,ASSORTED COLOUR BIRD ORNAMENT,"When an invoice contains PAINTED METAL PEARS ASSORTED, recommend ASSORTED COLOUR BIRD ORNAMENT.",34,0.02490842490842491,0.7727272727272727,12.264799154334039,0.02287753760281233,0.7578947368421053,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,4,Low-cost reactivation,22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend PINK REGENCY TEACUP AND SAUCER.",30,0.02197802197802198,0.6122448979591838,22.58687258687259,0.021004977928054853,0.6236842105263157,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,5,Low-cost reactivation,22804,CANDLEHOLDER PINK HANGING HEART,85123A,WHITE HANGING HEART T-LIGHT HOLDER,"When an invoice contains CANDLEHOLDER PINK HANGING HEART, recommend WHITE HANGING HEART T-LIGHT HOLDER.",30,0.02197802197802198,0.8108108108108109,7.427897696354073,0.019019173744448472,0.5947368421052631,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,6,Low-cost reactivation,22697,GREEN REGENCY TEACUP AND SAUCER,22423,REGENCY CAKESTAND 3 TIER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend REGENCY CAKESTAND 3 TIER.",32,0.023443223443223443,0.653061224489796,7.367178276269185,0.02026110641495257,0.5026315789473684,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,7,Low-cost reactivation,22470,HEART OF WICKER LARGE,22469,HEART OF WICKER SMALL,"When an invoice contains HEART OF WICKER LARGE, recommend HEART OF WICKER SMALL.",30,0.02197802197802198,0.5454545454545454,10.636363636363637,0.019911712219404527,0.44210526315789467,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Hibernating Low Value,8,Low-cost reactivation,22617,BAKING SET SPACEBOY DESIGN,22138,BAKING SET 9 PIECE RETROSPOT,"When an invoice contains BAKING SET SPACEBOY DESIGN, recommend BAKING SET 9 PIECE RETROSPOT.",27,0.01978021978021978,0.6923076923076923,12.77027027027027,0.0182312925170068,0.4236842105263158,Email or low-cost digital campaign,Use familiar-product bundles and limited-value win-back offers,Low
Loyal High Value,1,Strengthen loyalty,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,"When an invoice contains WOODEN STAR CHRISTMAS SCANDINAVIAN, recommend WOODEN HEART CHRISTMAS SCANDINAVIAN.",123,0.02270629499723094,0.7935483870967741,24.992160540135032,0.021797758299862705,0.9181764004767581,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,2,Strengthen loyalty,22698,PINK REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,"When an invoice contains PINK REGENCY TEACUP AND SAUCER, recommend GREEN REGENCY TEACUP AND SAUCER.",117,0.021598670851024553,0.8125,25.294899425287355,0.02074479630153999,0.9170441001191895,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,3,Strengthen loyalty,22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend ROSES REGENCY TEACUP AND SAUCER.",131,0.02418312719217279,0.7528735632183908,20.189683623534766,0.022985330949145837,0.9037544696066746,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,4,Strengthen loyalty,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,"When an invoice contains WOODEN HEART CHRISTMAS SCANDINAVIAN, recommend WOODEN STAR CHRISTMAS SCANDINAVIAN.",123,0.02270629499723094,0.7151162790697674,24.992160540135032,0.021797758299862705,0.8938617401668651,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,5,Strengthen loyalty,22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED,"When an invoice contains ALARM CLOCK BAKELIKE GREEN, recommend ALARM CLOCK BAKELIKE RED.",199,0.03673620084917851,0.7481203007518796,13.831288973286457,0.034080179351823475,0.888766388557807,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,6,Strengthen loyalty,23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,"When an invoice contains GARDENERS KNEELING PAD CUP OF TEA, recommend GARDENERS KNEELING PAD KEEP CALM.",164,0.030275059996307918,0.7354260089686098,14.539425878039998,0.028192786579856542,0.8822109654350416,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,7,Strengthen loyalty,22750,FELTCRAFT PRINCESS LOLA DOLL,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,"When an invoice contains FELTCRAFT PRINCESS LOLA DOLL, recommend FELTCRAFT PRINCESS CHARLOTTE DOLL.",100,0.018460402436773122,0.7246376811594203,27.643396611553378,0.01779259729342624,0.8736889153754468,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Loyal High Value,8,Strengthen loyalty,22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,"When an invoice contains GREEN REGENCY TEACUP AND SAUCER, recommend PINK REGENCY TEACUP AND SAUCER.",117,0.021598670851024553,0.6724137931034483,25.294899425287355,0.02074479630153999,0.867342073897497,Loyalty programme and personalised offers,"Provide cross-sell bundles, early access, and loyalty rewards",Very High
Recent Low Engagement,1,Encourage a second purchase,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,"When an invoice contains WOODEN TREE CHRISTMAS SCANDINAVIAN, recommend WOODEN STAR CHRISTMAS SCANDINAVIAN.",43,0.03152492668621701,0.8431372549019608,12.921788940295219,0.029085254684772233,0.8134615384615385,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,2,Encourage a second purchase,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,"When an invoice contains WOODEN STAR CHRISTMAS SCANDINAVIAN, recommend WOODEN HEART CHRISTMAS SCANDINAVIAN.",64,0.0469208211143695,0.7191011235955056,11.274183133152524,0.04275902770014018,0.7346153846153844,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,3,Encourage a second purchase,"22577, 22578",WOODEN HEART CHRISTMAS SCANDINAVIAN + WOODEN STAR CHRISTMAS SCANDINAVIAN,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,"When an invoice contains WOODEN HEART CHRISTMAS SCANDINAVIAN + WOODEN STAR CHRISTMAS SCANDINAVIAN, recommend WOODEN TREE CHRISTMAS SCANDINAVIAN.",35,0.025659824046920823,0.546875,14.626225490196077,0.023905453169477387,0.6730769230769231,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,4,Encourage a second purchase,22142,CHRISTMAS CRAFT WHITE FAIRY,22144,CHRISTMAS CRAFT LITTLE FRIENDS,"When an invoice contains CHRISTMAS CRAFT WHITE FAIRY, recommend CHRISTMAS CRAFT LITTLE FRIENDS.",31,0.022727272727272728,0.688888888888889,17.084444444444447,0.021396982310093654,0.6499999999999999,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,5,Encourage a second purchase,22617,BAKING SET SPACEBOY DESIGN,22138,BAKING SET 9 PIECE RETROSPOT,"When an invoice contains BAKING SET SPACEBOY DESIGN, recommend BAKING SET 9 PIECE RETROSPOT.",34,0.024926686217008796,0.8947368421052632,11.964912280701753,0.02284337080004472,0.6480769230769231,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,6,Encourage a second purchase,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22142,CHRISTMAS CRAFT WHITE FAIRY,"When an invoice contains CHRISTMAS CRAFT LITTLE FRIENDS, recommend CHRISTMAS CRAFT WHITE FAIRY.",31,0.022727272727272728,0.5636363636363637,17.084444444444447,0.021396982310093654,0.5923076923076922,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,7,Encourage a second purchase,23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,"When an invoice contains GARDENERS KNEELING PAD CUP OF TEA, recommend GARDENERS KNEELING PAD KEEP CALM.",32,0.02346041055718475,0.6530612244897959,13.295156868717635,0.021695827349266002,0.5798076923076922,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
Recent Low Engagement,8,Encourage a second purchase,23265,SET OF 3 WOODEN TREE DECORATIONS,23266,SET OF 3 WOODEN STOCKING DECORATION,"When an invoice contains SET OF 3 WOODEN TREE DECORATIONS, recommend SET OF 3 WOODEN STOCKING DECORATION.",25,0.018328445747800588,0.7142857142857143,26.332046332046332,0.017632394802246282,0.5644230769230769,Post-purchase email or website recommendation,Recommend complementary products shortly after the first purchase,High
